CustomerKey,Customer Code,Continent,City,State,CountryRegion
18813,CS551,North America,Spokane,Washington,United States
4751,15750,North America,Bellflower,California,United States
4760,15759,North America,Beaverton,Oregon,United States
4764,15763,North America,Walla Walla,Washington,United States
4773,15772,North America,San Gabriel,California,United States
4774,15773,North America,Lincoln Acres,California,United States
4775,15774,North America,Redmond,Washington,United States
4776,15775,North America,Bellingham,Washington,United States
4777,15776,North America,Newport Beach,California,United States
4778,15777,North America,Seattle,Washington,United States
4779,15778,North America,Everett,Washington,United States
4781,15780,North America,Burbank,California,United States
4782,15781,North America,San Francisco,California,United States
4783,15782,North America,Yakima,Washington,United States
4815,15814,North America,Burlingame,California,United States
17160,28159,North America,Berkeley,California,United States
17163,28162,North America,Grossmont,California,United States
17165,28164,North America,Lakewood,California,United States
17599,28598,North America,San Diego,California,United States
17600,28599,North America,Spokane,Washington,United States
17602,28601,North America,Oakland,California,United States
17604,28603,North America,San Carlos,California,United States
17605,28604,North America,Beaverton,Oregon,United States
17607,28606,North America,Oakland,California,United States
5963,16962,North America,Fremont,California,United States
5964,16963,North America,Mill Valley,California,United States
5966,16965,North America,Chula Vista,California,United States
5967,16966,North America,Lincoln Acres,California,United States
5968,16967,North America,Oregon City,Oregon,United States
5969,16968,North America,San Diego,California,United States
5971,16970,North America,Redmond,Washington,United States
15265,26264,North America,West Covina,California,United States
15266,26265,North America,Beaverton,Oregon,United States
15267,26266,North America,Bellingham,Washington,United States
15269,26268,North America,Berkeley,California,United States
15272,26271,North America,San Diego,California,United States
13528,24527,North America,Santa Cruz,California,United States
13529,24528,North America,Colma,California,United States
13530,24529,North America,Berkeley,California,United States
13531,24530,North America,Burien,Washington,United States
13999,24998,North America,Burlingame,California,United States
14000,24999,North America,Chula Vista,California,United States
14155,25154,North America,Burbank,California,United States
14156,25155,North America,Concord,California,United States
14162,25161,North America,National City,California,United States
14163,25162,North America,Torrance,California,United States
14170,25169,North America,Palo Alto,California,United States
14185,25184,North America,Colma,California,United States
14186,25185,North America,Redwood City,California,United States
14192,25191,North America,Mill Valley,California,United States
14966,25965,North America,Newport Beach,California,United States
14967,25966,North America,San Diego,California,United States
15058,26057,North America,Burbank,California,United States
15060,26059,North America,Palo Alto,California,United States
15061,26060,North America,San Gabriel,California,United States
15062,26061,North America,Woodland Hills,California,United States
15066,26065,North America,Berkeley,California,United States
15083,26082,North America,Lemon Grove,California,United States
15084,26083,North America,San Gabriel,California,United States
15085,26084,North America,Spring Valley,California,United States
15090,26089,North America,Bellflower,California,United States
15091,26090,North America,Bellflower,California,United States
15092,26091,North America,Santa Monica,California,United States
15099,26098,North America,West Covina,California,United States
15107,26106,North America,Los Angeles,California,United States
15108,26107,North America,Newport Beach,California,United States
15109,26108,North America,San Gabriel,California,United States
15204,26203,North America,Imperial Beach,California,United States
15539,26538,North America,Bellflower,California,United States
15541,26540,North America,Colma,California,United States
15594,26593,North America,Imperial Beach,California,United States
15685,26684,North America,Berkeley,California,United States
15691,26690,North America,Burbank,California,United States
15692,26691,North America,Burbank,California,United States
15699,26698,North America,Imperial Beach,California,United States
15705,26704,North America,Beverly Hills,California,United States
15706,26705,North America,San Gabriel,California,United States
15708,26707,North America,Beverly Hills,California,United States
15709,26708,North America,Chula Vista,California,United States
15723,26722,North America,Downey,California,United States
15724,26723,North America,Spring Valley,California,United States
16453,27452,North America,Woodland Hills,California,United States
16460,27459,North America,Burbank,California,United States
16461,27460,North America,Chula Vista,California,United States
16528,27527,North America,Concord,California,United States
16529,27528,North America,Los Angeles,California,United States
16530,27529,North America,San Carlos,California,United States
16616,27615,North America,La Jolla,California,United States
16620,27619,North America,Chula Vista,California,United States
16621,27620,North America,Colma,California,United States
16622,27621,North America,Santa Monica,California,United States
16631,27630,North America,Chula Vista,California,United States
16632,27631,North America,Oakland,California,United States
16641,27640,North America,Concord,California,United States
16642,27641,North America,El Cajon,California,United States
16646,27645,North America,Coronado,California,United States
16647,27646,North America,Imperial Beach,California,United States
16648,27647,North America,San Gabriel,California,United States
16662,27661,North America,National City,California,United States
16664,27663,North America,Santa Cruz,California,United States
16665,27664,North America,West Covina,California,United States
17076,28075,North America,Spokane,Washington,United States
17077,28076,North America,Redwood City,California,United States
17084,28083,North America,Bellflower,California,United States
17085,28084,North America,Berkeley,California,United States
17147,28146,North America,Mill Valley,California,United States
17236,28235,North America,Coronado,California,United States
17237,28236,North America,Daly City,California,United States
17238,28237,North America,Downey,California,United States
17239,28238,North America,Fremont,California,United States
17243,28242,North America,Chula Vista,California,United States
17244,28243,North America,Lemon Grove,California,United States
17245,28244,North America,Torrance,California,United States
17253,28252,North America,Newport Beach,California,United States
17254,28253,North America,West Covina,California,United States
17260,28259,North America,Santa Monica,California,United States
17268,28267,North America,Burlingame,California,United States
17269,28268,North America,Concord,California,United States
17288,28287,North America,Concord,California,United States
17289,28288,North America,Concord,California,United States
17290,28289,North America,Redwood City,California,United States
18049,29048,North America,Berkeley,California,United States
18128,29127,North America,Colma,California,United States
18129,29128,North America,Grossmont,California,United States
18130,29129,North America,San Gabriel,California,United States
18220,29219,North America,Chula Vista,California,United States
18221,29220,North America,Colma,California,United States
18222,29221,North America,Oakland,California,United States
18229,29228,North America,Newport Beach,California,United States
18235,29234,North America,Daly City,California,United States
18236,29235,North America,El Cajon,California,United States
18237,29236,North America,El Cajon,California,United States
18239,29238,North America,Torrance,California,United States
18240,29239,North America,Torrance,California,United States
18244,29243,North America,Bellflower,California,United States
18245,29244,North America,Chula Vista,California,United States
18246,29245,North America,Palo Alto,California,United States
18252,29251,North America,Beverly Hills,California,United States
18253,29252,North America,Palo Alto,California,United States
18262,29261,North America,San Gabriel,California,United States
18275,29274,North America,Lemon Grove,California,United States
18355,29354,North America,Marysville,Washington,United States
82,11081,North America,Concord,California,United States
83,11082,North America,Fremont,California,United States
84,11083,North America,Lincoln Acres,California,United States
174,11173,North America,W. Linn,Oregon,United States
175,11174,North America,Los Angeles,California,United States
178,11177,North America,San Diego,California,United States
18824,CS579,North America,Baytown,Texas,United States
18840,CS609,North America,Chicago,Illinois,United States
18841,CS610,North America,Chula Vista,California,United States
19036,CS952,North America,Worcester,Massachusetts,United States
17164,28163,North America,Woodburn,Oregon,United States
4750,15749,North America,Bremerton,Washington,United States
15268,26267,North America,Long Beach,California,United States
14157,25156,North America,Lincoln Acres,California,United States
15059,26058,North America,Downey,California,United States
15106,26105,North America,Colma,California,United States
18223,29222,North America,Torrance,California,United States
18254,29253,North America,San Francisco,California,United States
15273,26272,North America,Yakima,Washington,United States
17606,28605,North America,Glendale,California,United States
14065,25064,North America,Torrance,California,United States
14177,25176,North America,Novato,California,United States
14293,25292,North America,San Diego,California,United States
16643,27642,North America,La Jolla,California,United States
17259,28258,North America,San Francisco,California,United States
17270,28269,North America,Glendale,California,United States
18046,29045,North America,Mill Valley,California,United States
17159,28158,North America,Berkeley,California,United States
4780,15779,North America,Bremerton,Washington,United States
14173,25172,North America,Oakland,California,United States
15098,26097,North America,San Francisco,California,United States
15540,26539,North America,Burlingame,California,United States
15690,26689,North America,Berkeley,California,United States
16459,27458,North America,Berkeley,California,United States
16617,27616,North America,Lemon Grove,California,United States
16628,27627,North America,Long Beach,California,United States
16663,27662,North America,Burbank,California,United States
17078,28077,North America,San Gabriel,California,United States
5970,16969,North America,Santa Monica,California,United States
18238,29237,North America,Lakewood,California,United States
18247,29246,North America,San Diego,California,United States
11805,22804,Europe,Hamburg,Hamburg,Germany
11807,22806,Europe,Eilenburg,Saxony,Germany
11810,22809,Europe,Frankfurt,Hesse,Germany
11811,22810,Europe,Paderborn,North Rhine-Westphalia,Germany
9846,20845,Europe,Eilenburg,Saxony,Germany
9848,20847,Europe,Saarlouis,Saar,Germany
9855,20854,Europe,Frankfurt,Hesse,Germany
6112,17111,Europe,Berlin,Berlin,Germany
6114,17113,Europe,Offenbach am Main,Hesse,Germany
6195,17194,Europe,Werne,North Rhine-Westphalia,Germany
6199,17198,Europe,Hamburg,Hamburg,Germany
6200,17199,Europe,Berlin,Berlin,Germany
6201,17200,Europe,Dresden,Saxony,Germany
6202,17201,Europe,Frankfurt,Hesse,Germany
9057,20056,Europe,Berlin,Berlin,Germany
4668,15667,Europe,Paderborn,North Rhine-Westphalia,Germany
4673,15672,Europe,Paderborn,North Rhine-Westphalia,Germany
4681,15680,Europe,Neunkirchen,North Rhine-Westphalia,Germany
9894,20893,Europe,Bottrop,North Rhine-Westphalia,Germany
6115,17114,Europe,Sulzbach Taunus,Saar,Germany
9044,20043,Europe,Ingolstadt,Bavaria,Germany
6198,17197,Europe,Darmstadt,Hesse,Germany
11806,22805,Europe,Bonn,North Rhine-Westphalia,Germany
11816,22815,Europe,Hamburg,Hamburg,Germany
4675,15674,Europe,Erlangen,Bavaria,Germany
12275,23274,North America,Seattle,Washington,United States
12277,23276,North America,Bellflower,California,United States
12278,23277,North America,Redwood City,California,United States
12279,23278,North America,Coronado,California,United States
12328,23327,North America,Daly City,California,United States
12380,23379,North America,Renton,Washington,United States
12518,23517,North America,Beaverton,Oregon,United States
12550,23549,North America,Beverly Hills,California,United States
12559,23558,North America,Long Beach,California,United States
12565,23564,North America,Newport Beach,California,United States
12667,23666,North America,Tacoma,Washington,United States
12668,23667,North America,Bremerton,Washington,United States
12688,23687,North America,Yakima,Washington,United States
12689,23688,North America,Novato,California,United States
12693,23692,North America,Redmond,Washington,United States
12694,23693,North America,San Francisco,California,United States
12695,23694,North America,W. Linn,Oregon,United States
12696,23695,North America,Burlingame,California,United States
12698,23697,North America,Corvallis,Oregon,United States
12699,23698,North America,Burbank,California,United States
12700,23699,North America,Downey,California,United States
12701,23700,North America,Lebanon,Oregon,United States
12787,23786,North America,Bellingham,Washington,United States
12788,23787,North America,Berkeley,California,United States
12790,23789,North America,Concord,California,United States
12791,23790,North America,Lebanon,Oregon,United States
12792,23791,North America,Walla Walla,Washington,United States
12793,23792,North America,Burien,Washington,United States
12795,23794,North America,Daly City,California,United States
4839,15838,North America,Fremont,California,United States
4840,15839,North America,Santa Monica,California,United States
5219,16218,North America,Redmond,Washington,United States
5223,16222,North America,Berkeley,California,United States
5224,16223,North America,Los Angeles,California,United States
18328,29327,North America,Bremerton,Washington,United States
18330,29329,North America,Portland,Oregon,United States
18335,29334,North America,Walla Walla,Washington,United States
5083,16082,North America,Bellingham,Washington,United States
5085,16084,North America,Lake Oswego,Oregon,United States
5088,16087,North America,Berkeley,California,United States
5089,16088,North America,Beaverton,Oregon,United States
5846,16845,North America,West Covina,California,United States
5853,16852,North America,Burlingame,California,United States
5854,16853,North America,Colma,California,United States
5855,16854,North America,Woodland Hills,California,United States
5862,16861,North America,Lakewood,California,United States
5863,16862,North America,National City,California,United States
5866,16865,North America,Coronado,California,United States
5073,16072,North America,Beaverton,Oregon,United States
5075,16074,North America,Puyallup,Washington,United States
5076,16075,North America,Walla Walla,Washington,United States
5077,16076,North America,Yakima,Washington,United States
5078,16077,North America,Burbank,California,United States
5080,16079,North America,Santa Cruz,California,United States
5081,16080,North America,Long Beach,California,United States
4261,15260,North America,Chula Vista,California,United States
4277,15276,North America,El Cajon,California,United States
4278,15277,North America,Long Beach,California,United States
4279,15278,North America,San Carlos,California,United States
4425,15424,North America,Beverly Hills,California,United States
4520,15519,North America,Beaverton,Oregon,United States
4814,15813,North America,Redwood City,California,United States
4820,15819,North America,Puyallup,Washington,United States
4821,15820,North America,Issaquah,Washington,United States
4825,15824,North America,Colma,California,United States
12796,23795,North America,Coronado,California,United States
12797,23796,North America,Redwood City,California,United States
12798,23797,North America,Long Beach,California,United States
12801,23800,North America,La Jolla,California,United States
12802,23801,North America,Salem,Oregon,United States
12803,23802,North America,Salem,Oregon,United States
12806,23805,North America,Lake Oswego,Oregon,United States
13238,24237,North America,Kirkland,Washington,United States
13276,24275,North America,Palo Alto,California,United States
13448,24447,North America,Bellflower,California,United States
13449,24448,North America,Kirkland,Washington,United States
13450,24449,North America,Novato,California,United States
13452,24451,North America,Seattle,Washington,United States
13491,24490,North America,Bremerton,Washington,United States
